display_name,is_system_created,service_type,service_entries,id,path
Heartbeat,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['57348'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Vmware-Heartbeat-PrimarySecondary', 'display_name': 'Vmware-Heartbeat-PrimarySecondary'}, {'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['52267'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'Vmware-VCHeartbeat', 'display_name': 'Vmware-VCHeartbeat'}]",['id'],/infra/services/Heartbeat
IBM DB2,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['5000'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'IBM_DB2', 'display_name': 'IBM DB2'}]",['id'],/infra/services/IBM_DB2
ICMP ALL,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMPv6-ALL', 'display_name': 'ICMPv6-ALL'}, {'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMPv4-ALL', 'display_name': 'ICMPv4-ALL'}]",['id'],/infra/services/ICMP-ALL
ICMP Destination Unreachable,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMP_Destination_Unreachable', 'display_name': 'ICMP Destination Unreachable'}]",['id'],/infra/services/ICMP_Destination_Unreachable
ICMP Echo Reply,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMP_Echo_Reply', 'display_name': 'ICMP Echo Reply'}]",['id'],/infra/services/ICMP_Echo_Reply
ICMP Echo Request,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMP_Echo_Request', 'display_name': 'ICMP Echo Request'}]",['id'],/infra/services/ICMP_Echo_Request
ICMP Redirect,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMP_Redirect', 'display_name': 'ICMP Redirect'}]",['id'],/infra/services/ICMP_Redirect
ICMP Router Advertisement,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMP_Router_Advertisement', 'display_name': 'ICMP Router Advertisement'}]",['id'],/infra/services/ICMP_Router_Advertisement
ICMP Router Solicitation,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMP_Router_Solicitation', 'display_name': 'ICMP Router Solicitation'}]",['id'],/infra/services/ICMP_Router_Solicitation
ICMP Source Quench,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMP_Source_Quench', 'display_name': 'ICMP Source Quench'}]",['id'],/infra/services/ICMP_Source_Quench
ICMP Time Exceeded,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMP_Time_Exceeded', 'display_name': 'ICMP Time Exceeded'}]",['id'],/infra/services/ICMP_Time_Exceeded
ICMPv4-ALL,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMPv4-ALL', 'display_name': 'ICMPv4-ALL'}]",['id'],/infra/services/ICMPv4-ALL
ICMPv6-ALL,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'ICMPv6-ALL', 'display_name': 'ICMPv6-ALL'}]",['id'],/infra/services/ICMPv6-ALL
IGMP Leave Group,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'IGMPTypeServiceEntry', 'id': 'IGMP_Leave_Group', 'display_name': 'IGMP Leave Group'}]",['id'],/infra/services/IGMP_Leave_Group
IGMP Membership Query,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'IGMPTypeServiceEntry', 'id': 'IGMP_Membership_Query', 'display_name': 'IGMP Membership Query'}]",['id'],/infra/services/IGMP_Membership_Query
IGMP V2 Membership Report,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'IGMPTypeServiceEntry', 'id': 'IGMP_V2_Membership_Report', 'display_name': 'IGMP V2 Membership Report'}]",['id'],/infra/services/IGMP_V2_Membership_Report
IGMP V3 Membership Report,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'IGMPTypeServiceEntry', 'id': 'IGMP_V3_Membership_Report', 'display_name': 'IGMP V3 Membership Report'}]",['id'],/infra/services/IGMP_V3_Membership_Report
IKE (Key Exchange),True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['500'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'IKE_(Key_Exchange)', 'display_name': 'IKE (Key Exchange)'}]",['id'],/infra/services/IKE_(Key_Exchange)
IKE (NAT Traversal),True,['service_type'],"[{'l4_protocol': 'UDP', 'source_ports': [], 'destination_ports': ['4500'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'IKE_(NAT_Traversal)', 'display_name': 'IKE (NAT Traversal)'}]",['id'],/infra/services/IKE_(NAT_Traversal)
IMAP,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['143'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'IMAP', 'display_name': 'IMAP'}]",['id'],/infra/services/IMAP
IMAP_SSL,True,['service_type'],"[{'l4_protocol': 'TCP', 'source_ports': [], 'destination_ports': ['993'], 'resource_type': 'L4PortSetServiceEntry', 'id': 'IMAP_SSL', 'display_name': 'IMAP_SSL'}]",['id'],/infra/services/IMAP_SSL
IPv6-ICMP Destination Unreachable,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Destination_Unreachable', 'display_name': 'IPv6-ICMP Destination Unreachable'}]",['id'],/infra/services/IPv6-ICMP_Destination_Unreachable
IPv6-ICMP Echo Reply,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Echo_Reply', 'display_name': 'IPv6-ICMP Echo Reply'}]",['id'],/infra/services/IPv6-ICMP_Echo_Reply
IPv6-ICMP Echo Request,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Echo_Request', 'display_name': 'IPv6-ICMP Echo Request'}]",['id'],/infra/services/IPv6-ICMP_Echo_Request
IPv6-ICMP Multicast Listener Done,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Multicast_Listener_Done', 'display_name': 'IPv6-ICMP Multicast Listener Done'}]",['id'],/infra/services/IPv6-ICMP_Multicast_Listener_Done
IPv6-ICMP Multicast Listener Query,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Multicast_Listener_Query', 'display_name': 'IPv6-ICMP Multicast Listener Query'}]",['id'],/infra/services/IPv6-ICMP_Multicast_Listener_Query
IPv6-ICMP Multicast Listener Report,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Multicast_Listener_Report', 'display_name': 'IPv6-ICMP Multicast Listener Report'}]",['id'],/infra/services/IPv6-ICMP_Multicast_Listener_Report
IPv6-ICMP Neighbor Advertisement,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Neighbor_Advertisement', 'display_name': 'IPv6-ICMP Neighbor Advertisement'}]",['id'],/infra/services/IPv6-ICMP_Neighbor_Advertisement
IPv6-ICMP Neighbor Solicitation,True,['service_type'],"[{'l4_protocol': None, 'source_ports': None, 'destination_ports': None, 'resource_type': 'ICMPTypeServiceEntry', 'id': 'IPv6-ICMP_Neighbor_Solicitation', 'display_name': 'IPv6-ICMP Neighbor Solicitation'}]",['id'],/infra/services/IPv6-ICMP_Neighbor_Solicitation
